id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
7786231,2017-09-02,41.9212135161,-111.6471654923,Cache,Utah,United States,Lycaena heteronea,Blue Copper,Lycaenidae,Lycaena,Lycaena heteronea,
7786233,2017-09-02,41.8006073464,-111.6735256251,Cache,Utah,United States,Lycaena dorcas sangremar,,Lycaenidae,Lycaena,Lycaena dorcas,Lycaena dorcas sangremar
7786236,2017-09-02,41.8192286984,-111.7674821014,Cache,Utah,United States,Lycaena dorcas sangremar,,Lycaenidae,Lycaena,Lycaena dorcas,Lycaena dorcas sangremar
7786239,2017-09-02,41.921489113,-111.6476916243,Cache,Utah,United States,Lycaena heteronea rava,,Lycaenidae,Lycaena,Lycaena heteronea,Lycaena heteronea rava
7786250,2017-09-02,41.9214276318,-111.6468401068,Cache,Utah,United States,Lycaena heteronea rava,,Lycaenidae,Lycaena,Lycaena heteronea,Lycaena heteronea rava
7786256,2017-09-02,41.9212134742,-111.6473080685,Cache,Utah,United States,Polygonia gracilis zephyrus,Zephyr Comma,Nymphalidae,Polygonia,Polygonia gracilis,Polygonia gracilis zephyrus
7786260,2017-09-02,41.9306684737,-111.7704747236,Cache,Utah,United States,Lycaena dorcas sangremar,,Lycaenidae,Lycaena,Lycaena dorcas,Lycaena dorcas sangremar
7786262,2017-09-02,41.9210978039,-111.647708472,Cache,Utah,United States,Lycaena heteronea,Blue Copper,Lycaenidae,Lycaena,Lycaena heteronea,
7786265,2017-09-02,41.9214164419,-111.6469583755,Cache,Utah,United States,Lycaena heteronea,Blue Copper,Lycaenidae,Lycaena,Lycaena heteronea,
7786266,2017-09-02,41.9210272283,-111.6472378281,Cache,Utah,United States,Polygonia gracilis,Hoary Comma,Nymphalidae,Polygonia,Polygonia gracilis,
7786273,2017-09-02,41.9212258375,-111.6478300096,Cache,Utah,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis,
