scientific_name,latitude,longitude,observed_on,provider
Vanessa cardui,40.456744,-121.48967,2008-08-03,iNat
Boloria epithore,39.3235,-120.383,2013-07-05,iNat
Plebejus anna,39.6236666667,-120.6498333333,2013-07-06,iNat
Lycaena heteronea,39.5681666667,-120.6065,2013-07-06,iNat
Colias eurytheme,39.441475,-120.096579,2013-07-08,iNat
Ochlodes sylvanoides,38.483796,-122.571073,2013-07-10,iNat
Lycaena mariposa,39.428414,-120.243937,2013-07-11,iNat
Boloria epithore,38.413988,-120.135476,2013-06-08,iNat
Aglais milberti,47.060833,-112.7485,2012-07-28,iNat
Ochlodes sylvanoides,37.685,-122.4106666667,2013-07-13,iNat
Vanessa cardui,37.76904,-122.483519,2013-06-28,iNat
Eurema mexicana,30.3480305556,-103.6737972222,2013-07-13,iNat
Colias eurytheme,32.679461,-115.656277,2013-07-17,iNat
Plebejus anna,39.30983,-120.195023,2013-07-21,iNat
Ochlodes sylvanoides,37.045618558,-122.0667919081,2013-07-22,iNat
Polygonia gracilis,38.832120416,-120.3733106855,2013-07-13,iNat
Lycaena heteronea,38.458482,-119.5994,2013-07-22,iNat
Colias eurytheme,37.773164,-119.790779,2013-07-15,iNat
Boloria epithore,37.858869,-119.625984,2013-07-15,iNat
Vanessa cardui,35.66358,-121.27548,2013-07-25,iNat
Ochlodes sylvanoides,48.763096,-122.368089,2013-07-28,iNat
Ochlodes sylvanoides,33.067826,-116.55299,2013-07-24,iNat
Ochlodes sylvanoides,33.273121,-116.852864,2013-07-24,iNat
Polygonia gracilis,37.9663333333,-119.2658333333,2013-07-29,iNat
Colias eurytheme,38.481749,-121.6169,2013-08-01,iNat
Plebejus anna,37.690211,-119.198196,2013-07-05,iNat
Polygonia gracilis,37.690211,-119.198196,2013-07-05,iNat
Plebejus anna,37.690211,-119.198196,2013-07-05,iNat
Ochlodes sylvanoides,37.361245,-122.170701,2013-08-03,iNat
Ochlodes sylvanoides,37.2808333333,-122.1505,2013-08-04,iNat
Ochlodes sylvanoides,37.272728,-122.15296,2013-08-04,iNat
Colias eurytheme,32.67839,-115.674432,2013-08-03,iNat
Ochlodes sylvanoides,47.492418,-122.239106,2013-07-28,iNat
Polygonia gracilis,35.762356,-105.837638,2013-08-02,iNat
Speyeria cybele,40.720685,-111.6577933333,2013-08-06,iNat
Colias eurytheme,32.871229,-115.665591,2013-08-03,iNat
Colias eurytheme,32.871229,-115.665591,2013-08-03,iNat
Lycaena heteronea,42.6726666667,-118.691,2013-08-09,iNat
Colias eurytheme,39.707601,-120.670039,2013-08-12,iNat
Colias eurytheme,34.717902,-119.924414,2009-05-10,iNat
Vanessa cardui,34.743798,-119.985175,2009-03-28,iNat
Lycaena heteronea,40.6692366667,-111.6845033333,2013-08-12,iNat
Aglais milberti,41.357108,-106.296367,2013-07-30,iNat
Ochlodes sylvanoides,46.615426,-122.907727,2013-08-18,iNat
Polygonia gracilis,40.435539,-105.55111,2011-08-14,iNat
Ochlodes sylvanoides,44.006974,-122.980749,2013-08-14,iNat
Ochlodes sylvanoides,40.64925,-111.7124933333,2013-08-21,iNat
Colias eurytheme,33.340639,-116.901569,2013-08-07,iNat
Ochlodes sylvanoides,33.340639,-116.901569,2013-08-07,iNat
Libytheana carinenta,29.7161,-104.2001,2013-08-22,iNat
Speyeria cybele,39.5613333333,-107.3043333333,2013-08-09,iNat
Ochlodes sylvanoides,39.3771666667,-106.9253333333,2013-08-08,iNat
Celastrina echo,37.186579,-122.339287,2010-03-14,iNat
Ochlodes sylvanoides,35.562674,-121.08515,2013-08-25,iNat
Celastrina echo,32.6513,-109.8131,2013-08-25,iNat
Vanessa cardui,32.6513,-109.8131,2013-08-25,iNat
Plebejus anna,40.4299937129,-121.5984339167,2013-08-19,iNat
Colias eurytheme,35.4456,-106.66615,2013-08-24,iNat
Vanessa cardui,34.081295,-118.048331,2013-08-04,iNat
Ochlodes sylvanoides,47.684944,-122.298222,2013-08-30,iNat
Libytheana carinenta,32.9086,-109.4864,2013-08-29,iNat
Polygonia gracilis,39.433932,-120.197682,2013-08-31,iNat
Vanessa cardui,32.2584,-104.7119,2013-09-02,iNat
Libytheana carinenta,32.2438,-104.6961,2013-09-02,iNat
Ochlodes sylvanoides,37.8973333333,-121.946,2013-09-02,iNat
Ochlodes sylvanoides,37.89747,-121.945992,2013-09-02,iNat
Ochlodes sylvanoides,37.897505,-121.946223,2013-09-02,iNat
Vanessa cardui,32.619207,-116.188059,2013-08-31,iNat
Colias eurytheme,32.687209,-116.530416,2013-08-31,iNat
Ochlodes sylvanoides,32.836441,-116.541011,2013-09-01,iNat
Ochlodes sylvanoides,36.993244,-121.921892,2013-09-03,iNat
Ochlodes sylvanoides,37.923881,-121.923521,2013-09-02,iNat
Ochlodes sylvanoides,38.098234,-122.881544,2013-08-31,iNat
Ochlodes sylvanoides,38.108598,-122.882344,2013-08-31,iNat
Ochlodes sylvanoides,37.519371,-122.325979,2013-09-04,iNat
Ochlodes sylvanoides,40.678967,-105.465947,2012-08-17,iNat
Ochlodes sylvanoides,38.134446,-122.575028,2013-09-05,iNat
Ochlodes sylvanoides,37.4595,-122.2858333333,2013-09-06,iNat
Polygonia gracilis,41.82644,-115.419994,2013-09-04,iNat
Ochlodes sylvanoides,41.82644,-115.419994,2013-09-04,iNat
Libytheana carinenta,29.327351,-103.206028,2013-09-08,iNat
Polygonia gracilis,39.322867,-120.243848,2013-09-08,iNat
Ochlodes sylvanoides,36.508606,-121.18103,2013-09-08,iNat
Ochlodes sylvanoides,47.655804,-122.292533,2013-09-01,iNat
Colias eurytheme,43.750788,-101.930339,2013-09-17,iNat
Eurema mexicana,29.31922198,-103.21362371,2013-09-20,iNat
